season,character,count,count_type,image
15,Grampa,53.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
15,Homer,1083.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
15,Krusty,73.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
15,Lenny,51.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
15,Lisa,480.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
15,Marge,577.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
15,Milhouse,83.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
15,Moe,62.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
15,Mr. Burns,117.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
16,Apu,26.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
16,Bart,448.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
16,Chief Wiggum,121.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
16,Flanders,142.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
16,Grampa,39.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
16,Homer,1051.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
16,Krusty,47.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
16,Lenny,31.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
16,Lisa,389.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
16,Marge,580.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
16,Milhouse,68.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
16,Moe,101.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
16,Mr. Burns,78.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
17,Apu,7.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
17,Bart,364.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
17,Chief Wiggum,44.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
17,Flanders,117.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
17,Grampa,122.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
17,Homer,951.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
17,Krusty,35.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
17,Lenny,74.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
17,Lisa,392.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
17,Marge,626.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
17,Milhouse,95.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
17,Moe,130.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
17,Mr. Burns,122.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
18,Apu,26.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
18,Bart,461.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
18,Chief Wiggum,73.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
18,Flanders,33.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
18,Grampa,74.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
18,Homer,936.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
18,Krusty,77.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
18,Lenny,43.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
