season,number_in_season,episode_id,character,sentence_count,image
25,18,548,Krusty,2,https://img.icons8.com/doodle/48/krusty-the-clown.png
25,18,548,Lenny,2,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
25,18,548,Lisa,23,https://img.icons8.com/doodle/48/lisa-simpson.png
25,18,548,Marge,20,https://img.icons8.com/doodle/48/marge-simpson.png
25,18,548,Milhouse,12,https://img.icons8.com/doodle/48/milhouse-van-houten.png
25,18,548,Moe,8,https://img.icons8.com/doodle/48/bartender-mo.png
25,18,548,Mr. Burns,1,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
25,18,548,Nelson,7,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
25,18,548,Professor Frink,6,https://static.simpsonswiki.com/images/0/09/Tapped_Out_Professor_Frink_Icon_-_Deadpan.png
25,18,548,Ralph,4,https://img.icons8.com/doodle/48/ralf.png
25,18,548,Rev. Lovejoy,3,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Rev._Lovejoy_Sidebar.png
25,18,548,Sideshow Mel,1,https://static.simpsonswiki.com/images/6/6d/Tapped_Out_Sideshow_Mel_Icon.png
25,19,549,Barney,3,https://img.icons8.com/doodle/48/barney-gumble.png
25,19,549,Bart,51,https://img.icons8.com/doodle/48/bart-simpson.png
25,19,549,Carl,1,https://static.simpsonswiki.com/images/a/a4/Tapped_Out_Carl_Icon.png
25,19,549,Chalmers,2,https://static.simpsonswiki.com/images/5/58/Tapped_Out_Chalmers_Icon.png
25,19,549,Duffman,6,https://static.simpsonswiki.com/images/1/18/Tapped_Out_Duffman_Icon.png
25,19,549,Fat Tony,17,https://static.simpsonswiki.com/images/1/1b/Tapped_Out_Fat_Tony_Icon.png
25,19,549,Flanders,2,https://img.icons8.com/doodle/48/ned-flanders.png
25,19,549,Homer,42,https://img.icons8.com/doodle/48/homer-simpson.png
25,19,549,Jimbo,1,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
25,19,549,Kirk,2,https://static.simpsonswiki.com/images/6/61/Tapped_Out_Acorn_Kirk_Icon.png
25,19,549,Lenny,3,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
25,19,549,Lisa,3,https://img.icons8.com/doodle/48/lisa-simpson.png
25,19,549,Lou,6,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
25,19,549,Marge,5,https://img.icons8.com/doodle/48/marge-simpson.png
25,19,549,Martin Prince,1,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
25,19,549,Milhouse,8,https://img.icons8.com/doodle/48/milhouse-van-houten.png
25,19,549,Moe,10,https://img.icons8.com/doodle/48/bartender-mo.png
25,19,549,Nelson,1,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
25,19,549,Ralph,1,https://img.icons8.com/doodle/48/ralf.png
25,21,551,Bart,13,https://img.icons8.com/doodle/48/bart-simpson.png
25,21,551,Chief Wiggum,1,https://img.icons8.com/doodle/48/clancy-wiggum.png
25,21,551,Comic Book Guy,2,https://static.simpsonswiki.com/images/a/a9/Tapped_Out_Comic_Book_Guy_Icon.png
25,21,551,Dr. Hibbert,1,https://static.simpsonswiki.com/images/d/d5/Tapped_Out_Dr._Hibbert_Icon.png
25,21,551,Duffman,1,https://static.simpsonswiki.com/images/1/18/Tapped_Out_Duffman_Icon.png
25,21,551,Flanders,1,https://img.icons8.com/doodle/48/ned-flanders.png
25,21,551,Grampa,8,https://img.icons8.com/doodle/48/abraham-simpson.png
25,21,551,Groundskeeper Willie,1,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Chainsaw_Willie_Icon_-_Happy.png
25,21,551,Homer,41,https://img.icons8.com/doodle/48/homer-simpson.png
25,21,551,Lisa,29,https://img.icons8.com/doodle/48/lisa-simpson.png
25,21,551,Marge,48,https://img.icons8.com/doodle/48/marge-simpson.png
25,21,551,Milhouse,3,https://img.icons8.com/doodle/48/milhouse-van-houten.png
25,21,551,Rev. Lovejoy,1,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Rev._Lovejoy_Sidebar.png
25,21,551,Sideshow Mel,1,https://static.simpsonswiki.com/images/6/6d/Tapped_Out_Sideshow_Mel_Icon.png
25,22,552,Agnes Skinner,1,https://static.simpsonswiki.com/images/b/b1/Tapped_Out_Agnes_Sidebar.png
25,22,552,Bart,32,https://img.icons8.com/doodle/48/bart-simpson.png
25,22,552,Carl,1,https://static.simpsonswiki.com/images/a/a4/Tapped_Out_Carl_Icon.png
25,22,552,Chalmers,7,https://static.simpsonswiki.com/images/5/58/Tapped_Out_Chalmers_Icon.png
25,22,552,Chief Wiggum,4,https://img.icons8.com/doodle/48/clancy-wiggum.png
25,22,552,Cletus,7,https://static.simpsonswiki.com/images/a/a0/Tapped_Out_Cletus_Icon_-_Smiling.png
25,22,552,Dr. Hibbert,4,https://static.simpsonswiki.com/images/d/d5/Tapped_Out_Dr._Hibbert_Icon.png
25,22,552,Grampa,11,https://img.icons8.com/doodle/48/abraham-simpson.png
